Q09161	P11940
Q9BWF3	Q99814
Q9BWF3	O60573
Q9BWF3	P60842
Q9BWF3	Q96SB4
Q9BWF3	P11940
P11940	P60842
P11940	Q86U42
P11940	Q92900
Q92900	P38919
Q92900	P61326
Q92900	O15234
Q92900	Q14493
Q92900	Q9Y5S9
Q92900	Q86U42
Q92900	Q9BZI7
P01588	P19235
Q8TDG4	O43502
Q8TDG4	O43543
Q8TDG4	P27694
Q8TDG4	Q13535
Q8TDG4	Q9NVI1
Q8TDG4	Q9BXW9
O43502	O43542
P27694	Q06609
P27694	Q13156
P27694	P15927
P27694	P43351
P27694	P23025
P27694	Q14565
P27694	P35244
Q13535	O14757
Q9NVI1	Q9BXW9
Q9BXW9	P49716
Q969G9	P67775
P67775	P57058
P67775	P30153
P67775	P23528
P67775	P31749
P67775	Q5VSL9
P67775	Q9C0C7
P84085	P62491
P62491	Q86YS3
P62491	Q9UBF8
P62491	Q7L804
P62491	O60447
P62491	P49768
P10997	P14735
P14735	P01308
P14735	P01275
Q9UMW8	P05161
P05161	P41226
Q8IVD9	P43034
P43034	P07900
Q8N6F1	P56856
Q8N6F1	Q9Y5I7
P43356	O15379
O15379	P24385
O15379	P23771
O15379	P20393
O15379	P51608
O15379	P00558
O15379	Q15466
O15379	Q01664
O15379	Q13227
O15379	P55040
O15379	Q9Y618
P59768	P62873
P62873	P63211
P31314	Q15172
Q96NY9	Q96AY2
Q96AY2	Q92698
P12931	P24385
P12931	P49407
P12931	P21980
P12931	P35408
P12931	Q96AQ6
P12931	P20248
P12931	P78536
P12931	O00560
P12931	P07900
P24385	P11802
P24385	P24941
P24385	P61024
P24385	P06493
P24385	P12830
P24385	Q16656
P24385	Q00534
P24385	P38936
P49407	O15169
P49407	P43220
P49407	P08588
P49407	P35408
P20248	P24941
P20248	P46527
P20248	P31751
P20248	P31749
P20248	P06493
P20248	P38936
P78536	O15530
P07900	P11802
P07900	Q15185
P07900	P35869
P07900	Q13233
P07900	Q9UHD2
P07900	Q99558
P07900	P06401
P07900	P10809
P07900	Q14164
P07900	P09769
P38117	P13804
P51665	P60900
P60900	P25789
P52798	P54764
P54764	P52803
P54764	P20827
P54764	P52799
P54764	Q15768
P54764	O43921
Q9H9A7	P54132
Q9H9A7	Q96E14
Q9H9A7	Q13472
P54132	Q96E14
P54132	Q06609
P54132	P42677
P54132	P53350
P54132	Q9UQ84
Q96E14	Q13472
